"filename", "language", "Python", "comment", "blank", "total"
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/analytic.py", "Python", 39, 5, 8, 52
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/convert_flows.py", "Python", 35, 0, 7, 42
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/devices/centralized_controller.py", "Python", 33, 2, 6, 41
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/devices/centralized_switch.py", "Python", 25, 0, 5, 30
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/devices/controller.py", "Python", 53, 2, 18, 73
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/devices/ez_segway_controller.py", "Python", 12, 0, 5, 17
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/devices/ez_segway_switch.py", "Python", 24, 2, 7, 33
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/devices/switch.py", "Python", 75, 2, 24, 101
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/__init__.py", "Python", 1, 0, 1, 2
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/events.py", "Python", 77, 0, 23, 100
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/execution_info.py", "Python", 90, 1, 17, 108
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/message.py", "Python", 101, 3, 17, 121
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/network_premitives.py", "Python", 264, 20, 66, 350
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/sphere.py", "Python", 21, 2, 4, 27
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/domain/topology.py", "Python", 163, 15, 27, 205
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/experiment.py", "Python", 132, 11, 40, 183
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/ez_lib/__init__.py", "Python", 1, 0, 1, 2
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/ez_lib/cen_ctrl_handler.py", "Python", 64, 16, 14, 94
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/ez_lib/cen_scheduler.py", "Python", 382, 50, 45, 477
"/root/ez-segway/RECOVERED_FILES/root/ez-segway/simulator/ez_lib/ez_ctrl_handler.py", "Python", 51, 3, 12, 66
